  0   1.0000  0.9782  0.9777  0.9767  0.9739  0.9733  0.9722  0.9694  0.9664  0.9664
 10   1.0000  0.5437  0.4807  0.3518  0.2735  0.2266  0.1858  0.1479  0.1214  0.1214
 20   1.0000  0.2774  0.2516  0.2001  0.1270  0.1022  0.0782  0.0583  0.0448  0.0448
 30   1.0000  0.1912  0.1731  0.1398  0.0689  0.0520  0.0363  0.0258  0.0193  0.0193
 40   1.0000  0.1345  0.1207  0.0980  0.0367  0.0267  0.0176  0.0120  0.0085  0.0085
 50   1.0000  0.0880  0.0777  0.0615  0.0195  0.0134  0.0085  0.0057  0.0038  0.0038
 60   1.0000  0.0576  0.0505  0.0403  0.0101  0.0062  0.0038  0.0026  0.0016  0.0016
 70   1.0000  0.0373  0.0328  0.0270  0.0056  0.0031  0.0016  0.0012  0.0007  0.0007
 80   1.0000  0.0254  0.0226  0.0190  0.0030  0.0014  0.0005  0.0004  0.0003  0.0003
 90   1.0000  0.0173  0.0153  0.0128  0.0012  0.0006  0.0002  0.0002  0.0001  0.0001
100   1.0000  0.0108  0.0095  0.0077  0.0004  0.0002  0.0001  0.0001  0.0001  0.0001
110   1.0000  0.0057  0.0048  0.0039  0.0001  0.0001  0.0000  0.0000  0.0000  0.0000
120   1.0000  0.0028  0.0024  0.0021  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
