[617 5]
[241 28]
[242 28]
[243 28]
[243 29]
[309 44]
[310 44]
[475 99]
[476 99]
[475 100]
[685 146]
[764 204]
[763 205]
[764 205]
[757 206]
[758 206]
[758 207]
[116 208]
[404 211]
[161 227]
[133 290]
[179 294]
[179 295]
[212 298]
[213 298]
[224 313]
[118 320]
[764 320]
[764 321]
[699 345]
[699 346]
[764 346]
[114 350]
[115 350]
[130 351]
[138 351]
[139 351]
[176 353]
[177 353]
[185 353]
[164 358]
[709 358]
[710 358]
[101 359]
[709 359]
[710 359]
[710 360]
[710 361]
[711 361]
[729 361]
[730 361]
[710 362]
[711 362]
[729 362]
[727 371]
[728 371]
[729 371]
[727 372]
[729 372]
[388 374]
[764 382]
[757 387]
[382 427]
[104 453]
[104 454]
[105 454]
[647 491]
[644 572]
