  0   1.0000  0.9991  0.9991  0.9990  0.9988  0.9987  0.9983  0.9973  0.9959  0.9959
 10   1.0000  0.7448  0.6965  0.6014  0.4921  0.4179  0.3417  0.2935  0.2484  0.2484
 20   1.0000  0.4259  0.3865  0.3194  0.2254  0.1772  0.1265  0.1025  0.0813  0.0813
 30   1.0000  0.2761  0.2482  0.2013  0.1224  0.0876  0.0563  0.0446  0.0343  0.0343
 40   1.0000  0.1818  0.1597  0.1240  0.0643  0.0435  0.0274  0.0220  0.0173  0.0173
 50   1.0000  0.1149  0.1007  0.0772  0.0351  0.0222  0.0135  0.0105  0.0076  0.0076
 60   1.0000  0.0765  0.0665  0.0510  0.0188  0.0106  0.0061  0.0048  0.0038  0.0038
 70   1.0000  0.0518  0.0441  0.0327  0.0093  0.0054  0.0033  0.0026  0.0021  0.0021
 80   1.0000  0.0328  0.0272  0.0191  0.0045  0.0027  0.0015  0.0009  0.0006  0.0006
 90   1.0000  0.0195  0.0161  0.0111  0.0020  0.0010  0.0004  0.0002  0.0001  0.0001
100   1.0000  0.0113  0.0093  0.0063  0.0007  0.0003  0.0001  0.0001  0.0000  0.0000
110   1.0000  0.0066  0.0054  0.0038  0.0002  0.0001  0.0000  0.0000  0.0000  0.0000
120   1.0000  0.0036  0.0030  0.0024  0.0001  0.0000  0.0000  0.0000  0.0000  0.0000
